municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Pracuúba,Amapá,4042.0,802837.0,4948.508,0.8168118552096916,0.5034645887023144
Santana,Amapá,118353.0,802837.0,1541.224,76.79156306935268,14.741846726047752
Serra do Navio,Amapá,4986.0,802837.0,7713.046,0.6464372181885081,0.6210476099133448
Tartarugalzinho,Amapá,13785.0,802837.0,6684.705,2.062170282757429,1.7170359612225146
Vitória do Jari,Amapá,11922.0,802837.0,2508.979,4.751733673338837,1.4849838759299834
Alvarães,Amazonas,16670.0,4281209.0,5923.461,2.8142330978460057,0.38937599168832915
Amaturá,Amazonas,11411.0,4281209.0,4754.109,2.400239456015838,0.26653685909751196
Anamã,Amazonas,10318.0,4281209.0,2446.121,4.218106953826078,0.24100668759689142
Anori,Amazonas,17932.0,4281209.0,6036.38,2.9706545976230787,0.41885364624805754
Apuí,Amazonas,21735.0,4281209.0,54240.545,0.4007150001903558,0.5076836940219457
Atalaia do Norte,Amazonas,15892.0,4281209.0,76507.617,0.20771787990730387,0.3712035548836789
Autazes,Amazonas,45328.0,4281209.0,7652.852,5.92302059415235,1.0587663438061539
Barcelos,Amazonas,18626.0,4281209.0,122461.086,0.15209729562581212,0.4350640204671157
Barreirinha,Amazonas,33436.0,4281209.0,5751.765,5.813172130641638,0.780994340617335
Benjamin Constant,Amazonas,40509.0,4281209.0,8705.441,4.653296714089499,0.9462046819017711
Beruri,Amazonas,22136.0,4281209.0,17472.779,1.2668849070889068,0.5170502070793553
Boa Vista do Ramos,Amazonas,25769.0,4281209.0,2589.407,9.951699365916598,0.601909413906212
Boca do Acre,Amazonas,38246.0,4281209.0,21938.583,1.7433213439537094,0.8933457815304042
Borba,Amazonas,34879.0,4281209.0,44236.184,0.7884721702034696,0.8146997728912556
Caapiranga,Amazonas,14310.0,4281209.0,9455.539,1.5133986544817803,0.33425137618836176
Canutama,Amazonas,17885.0,4281209.0,33642.732,0.5316155655848639,0.41775582551564283
Carauari,Amazonas,30892.0,4281209.0,25778.658,1.1983556320115656,0.721571873739404
Careiro,Amazonas,32442.0,4281209.0,6096.212,5.321665322662663,0.7577766000211622
Careiro da Várzea,Amazonas,19809.0,4281209.0,2627.474,7.539180216436014,0.4626964018808705
Coari,Amazonas,73820.0,4281209.0,57970.768,1.2734004144985624,1.7242792865286418
Codajás,Amazonas,24451.0,4281209.0,18700.713,1.3074902545159641,0.5711237176227556
Eirunepé,Amazonas,35534.0,4281209.0,14966.242,2.37427672223929,0.829999189481289
Envira,Amazonas,17920.0,4281209.0,7505.794,2.387488918560781,0.41857335159297293
Fonte Boa,Amazonas,27875.0,4281209.0,12155.427,2.2932143807041907,0.6511011258735557
